Word,Definition,Mock1,Mock2,Mock3,Not sure
Abrogate,overturn a law,side with,bring into existence,take aggressively,I’m not sure
facetious,humorous,many-sided,remarkable,bitterly sarcastic,I’m not sure
maladroit,clumsy,vicious,inappropriate,comical,I’m not sure
redress,correct unfairness,disregard,put clothes on,overtake,I’m not sure
peevish,irritable,desperate,tiny,hungry,I’m not sure
eponym,derived from a name,unfamiliar term,vague remark,special skill,I’m not sure
glean,collect,discuss,entangle,remove,I’m not sure
schadenfreude,joy in others’ suffering,place of safety,contentedness,composure,I’m not sure
unprepossessing,unremarkable,unfamous,greedy,charitable,I’m not sure
malapropism,confusing similar words,forceful taking,subtle remark,allusion,I’m not sure
