Word,definition,mock1,mock2,mock3,unsure
myriad,large number,secret location,unwritten rule,favorable event,unsure
expunge,erase,substitute,attack,conceal,unsure
desecrate,ruin something holy,consider worthless,deserve,dry up,unsure
inviolate,sacred,forgotten,Well-liked,peaceful,unsure
incontrovertible,undisputable,unchanging,unclear,obvious,unsure
maverick,radical thinker,warrior,unwanted person,conformist,unsure
inequity,unfairness,lack of resources,foolishness,wealth of ideas,unsure
placid,peaceful,having one location,rude,overly content,unsure
loath,reluctant,unnecessary,Hate-filled,call out,unsure
tyro,beginner,liar,business,dictator,unsure
despot,tyrant,fraud,enemy,source,unsure
puerile,childish,uncorrupted,happy,experienced,unsure
derogative,insulting,special,unoriginal,relating to,unsure
complaisant,cheerfully obedient,Self-satisfied,bossy,stubborn,unsure
evanescent,short lived,creative,excited,powerful,unsure
conducive,helpful,joyful,hostile,lacking,unsure
obstinate,stubborn,agreeable,ignorant,uninformed,unsure
morose,gloomy,plentiful,righteous,scholarly,unsure
proponent,supporter,specialist,energy booster,adviser,unsure
ossify,harden,praise,scold,get rid of,unsure
